Skill,Adoption_Count,Adoption_Rate_Pct,Premium_Bonus_USD,Avg_Salary_If_Skilled_USD,High_Employability_Rate_Pct
Deep_Learning,348,34.8,10000,120397,47.1
ML,398,39.8,8000,115120,46.0
NLP,275,27.5,7500,114052,47.6
TensorFlow,275,27.5,7000,113260,49.5
Docker,383,38.3,4000,109722,49.3
Python,532,53.2,3000,109705,49.2
Spark,264,26.4,6000,107415,50.4
Cloud_AWS,315,31.5,5000,104963,53.7
Statistics,390,39.0,0,103503,48.2
Cloud_Azure,211,21.1,4500,101965,45.0
R,218,21.8,0,101385,46.3
Java,278,27.8,0,101339,51.4
JavaScript,278,27.8,0,101085,46.8
Project_Management,293,29.3,0,95937,45.1
Data_Viz,388,38.8,0,95069,46.4
Communication,258,25.8,0,94978,48.8
Tableau,275,27.5,0,94767,47.3
SQL,496,49.6,0,91922,49.2
Power_BI,380,38.0,0,89342,46.3
Excel,367,36.7,0,88032,47.7
